,estado,estado_ab,condado,partido,candidato,votos,fraccion_votos
65,Alabama,AL,Hale,Democrat,Hillary Clinton,2426,0.796
67,Alabama,AL,Henry,Democrat,Hillary Clinton,1170,0.856
69,Alabama,AL,Houston,Democrat,Hillary Clinton,3044,0.783
71,Alabama,AL,Jackson,Democrat,Hillary Clinton,1327,0.7
73,Alabama,AL,Jefferson,Democrat,Hillary Clinton,67357,0.816
75,Alabama,AL,Lamar,Democrat,Hillary Clinton,442,0.616
77,Alabama,AL,Lauderdale,Democrat,Hillary Clinton,3676,0.652
79,Alabama,AL,Lawrence,Democrat,Hillary Clinton,2047,0.777
81,Alabama,AL,Lee,Democrat,Hillary Clinton,7137,0.736
83,Alabama,AL,Limestone,Democrat,Hillary Clinton,3199,0.728
85,Alabama,AL,Lowndes,Democrat,Hillary Clinton,3782,0.887
87,Alabama,AL,Macon,Democrat,Hillary Clinton,4293,0.892
89,Alabama,AL,Madison,Democrat,Hillary Clinton,19995,0.686
91,Alabama,AL,Marengo,Democrat,Hillary Clinton,3590,0.658
93,Alabama,AL,Marion,Democrat,Hillary Clinton,567,0.655
95,Alabama,AL,Marshall,Democrat,Hillary Clinton,1494,0.621
97,Alabama,AL,Mobile,Democrat,Hillary Clinton,28927,0.827
99,Alabama,AL,Monroe,Democrat,Hillary Clinton,2438,0.909
101,Alabama,AL,Montgomery,Democrat,Hillary Clinton,28650,0.862
103,Alabama,AL,Morgan,Democrat,Hillary Clinton,3897,0.731
105,Alabama,AL,Perry,Democrat,Hillary Clinton,2575,0.82
107,Alabama,AL,Pickens,Democrat,Hillary Clinton,2326,0.762
109,Alabama,AL,Pike,Democrat,Hillary Clinton,2183,0.837
111,Alabama,AL,Randolph,Democrat,Hillary Clinton,1236,0.706
113,Alabama,AL,Russell,Democrat,Hillary Clinton,4381,0.728
115,Alabama,AL,Shelby,Democrat,Hillary Clinton,6657,0.628
117,Alabama,AL,St. Clair,Democrat,Hillary Clinton,1808,0.693
119,Alabama,AL,Sumter,Democrat,Hillary Clinton,2987,0.809
121,Alabama,AL,Talladega,Democrat,Hillary Clinton,5561,0.865
123,Alabama,AL,Tallapoosa,Democrat,Hillary Clinton,2658,0.88
125,Alabama,AL,Tuscaloosa,Democrat,Hillary Clinton,12136,0.767
127,Alabama,AL,Walker,Democrat,Hillary Clinton,1772,0.671
129,Alabama,AL,Washington,Democrat,Hillary Clinton,1511,0.575
131,Alabama,AL,Wilcox,Democrat,Hillary Clinton,3337,0.843
133,Alabama,AL,Winston,Democrat,Hillary Clinton,303,0.667
470,Alaska,AK,State House District 1,Democrat,Hillary Clinton,3,0.25
472,Alaska,AK,State House District 10,Democrat,Hillary Clinton,2,0.2
474,Alaska,AK,State House District 11,Democrat,Hillary Clinton,2,0.182
476,Alaska,AK,State House District 12,Democrat,Hillary Clinton,0,0.0
478,Alaska,AK,State House District 13,Democrat,Hillary Clinton,2,0.286
480,Alaska,AK,State House District 14,Democrat,Hillary Clinton,4,0.308
482,Alaska,AK,State House District 15,Democrat,Hillary Clinton,1,0.111
484,Alaska,AK,State House District 16,Democrat,Hillary Clinton,3,0.2
486,Alaska,AK,State House District 17,Democrat,Hillary Clinton,4,0.286
488,Alaska,AK,State House District 18,Democrat,Hillary Clinton,4,0.222
490,Alaska,AK,State House District 19,Democrat,Hillary Clinton,4,0.333
492,Alaska,AK,State House District 2,Democrat,Hillary Clinton,1,0.167
494,Alaska,AK,State House District 20,Democrat,Hillary Clinton,6,0.333
496,Alaska,AK,State House District 21,Democrat,Hillary Clinton,6,0.333
498,Alaska,AK,State House District 22,Democrat,Hillary Clinton,3,0.214
500,Alaska,AK,State House District 23,Democrat,Hillary Clinton,0,0.0
502,Alaska,AK,State House District 24,Democrat,Hillary Clinton,5,0.333
504,Alaska,AK,State House District 25,Democrat,Hillary Clinton,4,0.267
506,Alaska,AK,State House District 26,Democrat,Hillary Clinton,4,0.286
508,Alaska,AK,State House District 27,Democrat,Hillary Clinton,4,0.235
510,Alaska,AK,State House District 28,Democrat,Hillary Clinton,5,0.263
512,Alaska,AK,State House District 29,Democrat,Hillary Clinton,2,0.2
514,Alaska,AK,State House District 3,Democrat,Hillary Clinton,0,0.0
516,Alaska,AK,State House District 30,Democrat,Hillary Clinton,2,0.222
518,Alaska,AK,State House District 31,Democrat,Hillary Clinton,0,0.0
520,Alaska,AK,State House District 32,Democrat,Hillary Clinton,0,0.0
522,Alaska,AK,State House District 33,Democrat,Hillary Clinton,4,0.16
524,Alaska,AK,State House District 34,Democrat,Hillary Clinton,4,0.222
526,Alaska,AK,State House District 35,Democrat,Hillary Clinton,4,0.222
528,Alaska,AK,State House District 36,Democrat,Hillary Clinton,2,0.167
530,Alaska,AK,State House District 37,Democrat,Hillary Clinton,3,0.214
532,Alaska,AK,State House District 38,Democrat,Hillary Clinton,0,0.0
534,Alaska,AK,State House District 39,Democrat,Hillary Clinton,4,0.235
536,Alaska,AK,State House District 4,Democrat,Hillary Clinton,3,0.158
538,Alaska,AK,State House District 40,Democrat,Hillary Clinton,0,0.0
540,Alaska,AK,State House District 5,Democrat,Hillary Clinton,0,0.0
542,Alaska,AK,State House District 6,Democrat,Hillary Clinton,0,0.0
544,Alaska,AK,State House District 7,Democrat,Hillary Clinton,2,0.25
546,Alaska,AK,State House District 8,Democrat,Hillary Clinton,0,0.0
548,Alaska,AK,State House District 9,Democrat,Hillary Clinton,2,0.2
750,Arizona,AZ,Apache,Democrat,Hillary Clinton,4450,0.664
752,Arizona,AZ,Cochise,Democrat,Hillary Clinton,4654,0.565
754,Arizona,AZ,Coconino,Democrat,Hillary Clinton,5738,0.441
756,Arizona,AZ,Gila,Democrat,Hillary Clinton,2196,0.592
758,Arizona,AZ,Graham,Democrat,Hillary Clinton,937,0.491
760,Arizona,AZ,Greenlee,Democrat,Hillary Clinton,497,0.546
762,Arizona,AZ,La Paz,Democrat,Hillary Clinton,309,0.517
764,Arizona,AZ,Maricopa,Democrat,Hillary Clinton,126988,0.581
766,Arizona,AZ,Mohave,Democrat,Hillary Clinton,4170,0.564
768,Arizona,AZ,Navajo,Democrat,Hillary Clinton,4415,0.597
770,Arizona,AZ,Pima,Democrat,Hillary Clinton,56317,0.573
772,Arizona,AZ,Pinal,Democrat,Hillary Clinton,9771,0.621
774,Arizona,AZ,Santa Cruz,Democrat,Hillary Clinton,2496,0.658
776,Arizona,AZ,Yavapai,Democrat,Hillary Clinton,8401,0.529
778,Arizona,AZ,Yuma,Democrat,Hillary Clinton,4358,0.637
825,Arkansas,AR,Arkansas,Democrat,Hillary Clinton,724,0.833
827,Arkansas,AR,Ashley,Democrat,Hillary Clinton,1375,0.474
829,Arkansas,AR,Baxter,Democrat,Hillary Clinton,1391,0.624
831,Arkansas,AR,Benton,Democrat,Hillary Clinton,5650,0.541
833,Arkansas,AR,Boone,Democrat,Hillary Clinton,721,0.592
835,Arkansas,AR,Bradley,Democrat,Hillary Clinton,593,0.832
837,Arkansas,AR,Calhoun,Democrat,Hillary Clinton,413,0.45
839,Arkansas,AR,Carroll,Democrat,Hillary Clinton,0,0.0
841,Arkansas,AR,Chicot,Democrat,Hillary Clinton,1370,0.811
843,Arkansas,AR,Clark,Democrat,Hillary Clinton,1650,0.752
845,Arkansas,AR,Clay,Democrat,Hillary Clinton,960,0.52
847,Arkansas,AR,Cleburne,Democrat,Hillary Clinton,758,0.687
849,Arkansas,AR,Cleveland,Democrat,Hillary Clinton,382,0.688
851,Arkansas,AR,Columbia,Democrat,Hillary Clinton,1008,0.738
853,Arkansas,AR,Conway,Democrat,Hillary Clinton,1755,0.621
855,Arkansas,AR,Craighead,Democrat,Hillary Clinton,3543,0.64
857,Arkansas,AR,Crawford,Democrat,Hillary Clinton,1586,0.625
859,Arkansas,AR,Crittenden,Democrat,Hillary Clinton,3379,0.764
861,Arkansas,AR,Cross,Democrat,Hillary Clinton,780,0.742
863,Arkansas,AR,Dallas,Democrat,Hillary Clinton,693,0.568
865,Arkansas,AR,Desha,Democrat,Hillary Clinton,1342,0.686
867,Arkansas,AR,Drew,Democrat,Hillary Clinton,1250,0.678
869,Arkansas,AR,Faulkner,Democrat,Hillary Clinton,4077,0.586
871,Arkansas,AR,Franklin,Democrat,Hillary Clinton,667,0.672
873,Arkansas,AR,Fulton,Democrat,Hillary Clinton,701,0.554
875,Arkansas,AR,Garland,Democrat,Hillary Clinton,4057,0.687
877,Arkansas,AR,Grant,Democrat,Hillary Clinton,690,0.663
879,Arkansas,AR,Greene,Democrat,Hillary Clinton,1236,0.655
881,Arkansas,AR,Hempstead,Democrat,Hillary Clinton,786,0.795
883,Arkansas,AR,Hot Spring,Democrat,Hillary Clinton,1562,0.637
885,Arkansas,AR,Howard,Democrat,Hillary Clinton,535,0.765
887,Arkansas,AR,Independence,Democrat,Hillary Clinton,1059,0.645
889,Arkansas,AR,Izard,Democrat,Hillary Clinton,516,0.649
891,Arkansas,AR,Jackson,Democrat,Hillary Clinton,702,0.73
893,Arkansas,AR,Jefferson,Democrat,Hillary Clinton,9936,0.787
895,Arkansas,AR,Johnson,Democrat,Hillary Clinton,1056,0.623
897,Arkansas,AR,Lafayette,Democrat,Hillary Clinton,443,0.687
899,Arkansas,AR,Lawrence,Democrat,Hillary Clinton,933,0.495
901,Arkansas,AR,Lee,Democrat,Hillary Clinton,956,0.896
903,Arkansas,AR,Lincoln,Democrat,Hillary Clinton,599,0.757
905,Arkansas,AR,Little River,Democrat,Hillary Clinton,721,0.531
907,Arkansas,AR,Logan,Democrat,Hillary Clinton,881,0.689
909,Arkansas,AR,Lonoke,Democrat,Hillary Clinton,1664,0.654
911,Arkansas,AR,Madison,Democrat,Hillary Clinton,1085,0.417
913,Arkansas,AR,Marion,Democrat,Hillary Clinton,421,0.556
915,Arkansas,AR,Miller,Democrat,Hillary Clinton,1300,0.761
917,Arkansas,AR,Mississippi,Democrat,Hillary Clinton,2017,0.819
919,Arkansas,AR,Monroe,Democrat,Hillary Clinton,843,0.607
921,Arkansas,AR,Montgomery,Democrat,Hillary Clinton,316,0.66
923,Arkansas,AR,Nevada,Democrat,Hillary Clinton,647,0.592
925,Arkansas,AR,Newton,Democrat,Hillary Clinton,192,0.469
927,Arkansas,AR,Ouachita,Democrat,Hillary Clinton,2095,0.751
929,Arkansas,AR,Perry,Democrat,Hillary Clinton,648,0.529
931,Arkansas,AR,Phillips,Democrat,Hillary Clinton,2696,0.754
933,Arkansas,AR,Pike,Democrat,Hillary Clinton,367,0.642
935,Arkansas,AR,Poinsett,Democrat,Hillary Clinton,717,0.724
937,Arkansas,AR,Polk,Democrat,Hillary Clinton,349,0.544
939,Arkansas,AR,Pope,Democrat,Hillary Clinton,1680,0.576
941,Arkansas,AR,Prairie,Democrat,Hillary Clinton,558,0.517
943,Arkansas,AR,Pulaski,Democrat,Hillary Clinton,34862,0.764
945,Arkansas,AR,Randolph,Democrat,Hillary Clinton,662,0.619
947,Arkansas,AR,Saint Francis,Democrat,Hillary Clinton,1912,0.808
949,Arkansas,AR,Saline,Democrat,Hillary Clinton,4358,0.674
951,Arkansas,AR,Scott,Democrat,Hillary Clinton,306,0.636
953,Arkansas,AR,Searcy,Democrat,Hillary Clinton,221,0.564
955,Arkansas,AR,Sebastian,Democrat,Hillary Clinton,3694,0.611
957,Arkansas,AR,Sevier,Democrat,Hillary Clinton,342,0.623
959,Arkansas,AR,Sharp,Democrat,Hillary Clinton,608,0.642
961,Arkansas,AR,Stone,Democrat,Hillary Clinton,547,0.544
963,Arkansas,AR,Union,Democrat,Hillary Clinton,2548,0.503
965,Arkansas,AR,Van Buren,Democrat,Hillary Clinton,770,0.607
967,Arkansas,AR,Washington,Democrat,Hillary Clinton,9110,0.513
969,Arkansas,AR,White,Democrat,Hillary Clinton,2024,0.69
971,Arkansas,AR,Woodruff,Democrat,Hillary Clinton,862,0.662
973,Arkansas,AR,Yell,Democrat,Hillary Clinton,723,0.582
1350,California,CA,Alameda,Democrat,Hillary Clinton,107102,0.537
1352,California,CA,Alpine,Democrat,Hillary Clinton,110,0.456
1354,California,CA,Amador,Democrat,Hillary Clinton,1949,0.517
1356,California,CA,Butte,Democrat,Hillary Clinton,9681,0.4
1358,California,CA,Calaveras,Democrat,Hillary Clinton,2630,0.513
1360,California,CA,Colusa,Democrat,Hillary Clinton,653,0.512
1362,California,CA,Contra Costa,Democrat,Hillary Clinton,69809,0.594
1364,California,CA,Del Norte,Democrat,Hillary Clinton,1015,0.425
1366,California,CA,El Dorado,Democrat,Hillary Clinton,10367,0.515
1368,California,CA,Fresno,Democrat,Hillary Clinton,32895,0.595
1370,California,CA,Glenn,Democrat,Hillary Clinton,649,0.491
1372,California,CA,Humboldt,Democrat,Hillary Clinton,6036,0.31
1374,California,CA,Imperial,Democrat,Hillary Clinton,5743,0.668
1376,California,CA,Inyo,Democrat,Hillary Clinton,756,0.432
1378,California,CA,Kern,Democrat,Hillary Clinton,19104,0.573
1380,California,CA,Kings,Democrat,Hillary Clinton,3921,0.592
1382,California,CA,Lake,Democrat,Hillary Clinton,2408,0.464
1384,California,CA,Lassen,Democrat,Hillary Clinton,690,0.455
1386,California,CA,Los Angeles,Democrat,Hillary Clinton,590502,0.57
1388,California,CA,Madera,Democrat,Hillary Clinton,4831,0.556
1390,California,CA,Marin,Democrat,Hillary Clinton,27238,0.576
1392,California,CA,Mariposa,Democrat,Hillary Clinton,963,0.47
1394,California,CA,Mendocino,Democrat,Hillary Clinton,2690,0.364
1396,California,CA,Merced,Democrat,Hillary Clinton,7169,0.57
1398,California,CA,Modoc,Democrat,Hillary Clinton,240,0.435
1400,California,CA,Mono,Democrat,Hillary Clinton,755,0.449
1402,California,CA,Monterey,Democrat,Hillary Clinton,17126,0.565
1404,California,CA,Napa,Democrat,Hillary Clinton,7370,0.602
1406,California,CA,Nevada,Democrat,Hillary Clinton,5591,0.395
1408,California,CA,Orange,Democrat,Hillary Clinton,123723,0.546
1410,California,CA,Placer,Democrat,Hillary Clinton,17299,0.569
1412,California,CA,Plumas,Democrat,Hillary Clinton,1209,0.44
1414,California,CA,Riverside,Democrat,Hillary Clinton,73724,0.599
1416,California,CA,Sacramento,Democrat,Hillary Clinton,68248,0.569
1418,California,CA,San Benito,Democrat,Hillary Clinton,2022,0.577
1420,California,CA,San Bernardino,Democrat,Hillary Clinton,71246,0.572
1422,California,CA,San Diego,Democrat,Hillary Clinton,139813,0.551
1424,California,CA,San Francisco,Democrat,Hillary Clinton,85070,0.556
1426,California,CA,San Joaquin,Democrat,Hillary Clinton,25118,0.598
1428,California,CA,San Luis Obispo,Democrat,Hillary Clinton,16833,0.506
1430,California,CA,San Mateo,Democrat,Hillary Clinton,47358,0.609
1432,California,CA,Santa Barbara,Democrat,Hillary Clinton,23543,0.502
1434,California,CA,Santa Clara,Democrat,Hillary Clinton,109963,0.605
1436,California,CA,Santa Cruz,Democrat,Hillary Clinton,20105,0.442
1438,California,CA,Shasta,Democrat,Hillary Clinton,5875,0.478
1440,California,CA,Sierra,Democrat,Hillary Clinton,213,0.432
1442,California,CA,Siskiyou,Democrat,Hillary Clinton,1585,0.4
1444,California,CA,Solano,Democrat,Hillary Clinton,31753,0.568
1446,California,CA,Sonoma,Democrat,Hillary Clinton,44923,0.509
1448,California,CA,Stanislaus,Democrat,Hillary Clinton,15309,0.549
1450,California,CA,Sutter,Democrat,Hillary Clinton,2370,0.546
1452,California,CA,Tehama,Democrat,Hillary Clinton,1487,0.477
1454,California,CA,Trinity,Democrat,Hillary Clinton,585,0.373
1456,California,CA,Tulare,Democrat,Hillary Clinton,8375,0.581
1458,California,CA,Tuolumne,Democrat,Hillary Clinton,2851,0.513
1460,California,CA,Ventura,Democrat,Hillary Clinton,45848,0.538
1462,California,CA,Yolo,Democrat,Hillary Clinton,12567,0.518
1464,California,CA,Yuba,Democrat,Hillary Clinton,1572,0.464
1640,Colorado,CO,Adams,Democrat,Hillary Clinton,2060,0.383
1642,Colorado,CO,Alamosa,Democrat,Hillary Clinton,90,0.34
1644,Colorado,CO,Arapahoe,Democrat,Hillary Clinton,5320,0.463
1646,Colorado,CO,Archuleta,Democrat,Hillary Clinton,83,0.342
1648,Colorado,CO,Baca,Democrat,Hillary Clinton,15,0.319
1650,Colorado,CO,Bent,Democrat,Hillary Clinton,26,0.481
1652,Colorado,CO,Boulder,Democrat,Hillary Clinton,6354,0.363
1654,Colorado,CO,Broomfield,Democrat,Hillary Clinton,563,0.352
1656,Colorado,CO,Chaffee,Democrat,Hillary Clinton,210,0.339
1658,Colorado,CO,Cheyenne,Democrat,Hillary Clinton,5,0.5
1660,Colorado,CO,Clear Creek,Democrat,Hillary Clinton,159,0.442
1662,Colorado,CO,Conejos,Democrat,Hillary Clinton,73,0.584
1664,Colorado,CO,Costilla,Democrat,Hillary Clinton,64,0.566
1666,Colorado,CO,Crowley,Democrat,Hillary Clinton,15,0.469
1668,Colorado,CO,Custer,Democrat,Hillary Clinton,34,0.43
1670,Colorado,CO,Delta,Democrat,Hillary Clinton,177,0.295
1672,Colorado,CO,Denver,Democrat,Hillary Clinton,12097,0.45
1674,Colorado,CO,Dolores,Democrat,Hillary Clinton,8,0.229
1676,Colorado,CO,Douglas,Democrat,Hillary Clinton,2342,0.496
1678,Colorado,CO,Eagle,Democrat,Hillary Clinton,344,0.352
1680,Colorado,CO,El Paso,Democrat,Hillary Clinton,3109,0.384
1682,Colorado,CO,Elbert,Democrat,Hillary Clinton,89,0.379
1684,Colorado,CO,Fremont,Democrat,Hillary Clinton,193,0.412
1686,Colorado,CO,Garfield,Democrat,Hillary Clinton,439,0.368
1688,Colorado,CO,Gilpin,Democrat,Hillary Clinton,74,0.298
1690,Colorado,CO,Grand,Democrat,Hillary Clinton,94,0.321
1692,Colorado,CO,Gunnison,Democrat,Hillary Clinton,141,0.224
1694,Colorado,CO,Hinsdale,Democrat,Hillary Clinton,3,0.214
1696,Colorado,CO,Huerfano,Democrat,Hillary Clinton,93,0.362
1698,Colorado,CO,Jackson,Democrat,Hillary Clinton,15,0.556
1700,Colorado,CO,Jefferson,Democrat,Hillary Clinton,5478,0.396
1702,Colorado,CO,Kiowa,Democrat,Hillary Clinton,5,0.455
1704,Colorado,CO,Kit Carson,Democrat,Hillary Clinton,11,0.407
1706,Colorado,CO,La Plata,Democrat,Hillary Clinton,819,0.358
1708,Colorado,CO,Lake,Democrat,Hillary Clinton,53,0.235
1710,Colorado,CO,Larimer,Democrat,Hillary Clinton,3231,0.326
1712,Colorado,CO,Las Animas,Democrat,Hillary Clinton,80,0.386
1714,Colorado,CO,Lincoln,Democrat,Hillary Clinton,20,0.476
1716,Colorado,CO,Logan,Democrat,Hillary Clinton,77,0.513
1718,Colorado,CO,Mesa,Democrat,Hillary Clinton,791,0.414
1720,Colorado,CO,Mineral,Democrat,Hillary Clinton,16,0.381
1722,Colorado,CO,Moffat,Democrat,Hillary Clinton,21,0.42
1724,Colorado,CO,Montezuma,Democrat,Hillary Clinton,198,0.324
1726,Colorado,CO,Montrose,Democrat,Hillary Clinton,210,0.447
1728,Colorado,CO,Morgan,Democrat,Hillary Clinton,70,0.446
1730,Colorado,CO,Otero,Democrat,Hillary Clinton,78,0.451
1732,Colorado,CO,Ouray,Democrat,Hillary Clinton,86,0.355
1734,Colorado,CO,Park,Democrat,Hillary Clinton,118,0.338
1736,Colorado,CO,Phillips,Democrat,Hillary Clinton,11,0.344
1738,Colorado,CO,Pitkin,Democrat,Hillary Clinton,349,0.453
1740,Colorado,CO,Prowers,Democrat,Hillary Clinton,40,0.69
1742,Colorado,CO,Pueblo,Democrat,Hillary Clinton,1260,0.517
1744,Colorado,CO,Rio Blanco,Democrat,Hillary Clinton,8,0.308
1746,Colorado,CO,Rio Grande,Democrat,Hillary Clinton,47,0.435
1748,Colorado,CO,Routt,Democrat,Hillary Clinton,230,0.357
1750,Colorado,CO,Saguache,Democrat,Hillary Clinton,47,0.174
1752,Colorado,CO,San Juan,Democrat,Hillary Clinton,11,0.289
1754,Colorado,CO,San Miguel,Democrat,Hillary Clinton,89,0.212
1756,Colorado,CO,Sedgwick,Democrat,Hillary Clinton,13,0.619
1758,Colorado,CO,Summit,Democrat,Hillary Clinton,276,0.395
1760,Colorado,CO,Teller,Democrat,Hillary Clinton,126,0.358
1762,Colorado,CO,Washington,Democrat,Hillary Clinton,10,0.435
1764,Colorado,CO,Weld,Democrat,Hillary Clinton,1043,0.385
1766,Colorado,CO,Yuma,Democrat,Hillary Clinton,45,0.536
1768,Connecticut,CT,Andover,Democrat,Hillary Clinton,145,0.347
1770,Connecticut,CT,Ansonia,Democrat,Hillary Clinton,582,0.475
1772,Connecticut,CT,Ashford,Democrat,Hillary Clinton,212,0.355
1774,Connecticut,CT,Avon,Democrat,Hillary Clinton,1097,0.578
1776,Connecticut,CT,Barkhamsted,Democrat,Hillary Clinton,137,0.388
1778,Connecticut,CT,Beacon Falls,Democrat,Hillary Clinton,150,0.344
1780,Connecticut,CT,Berlin,Democrat,Hillary Clinton,1007,0.452
1782,Connecticut,CT,Bethany,Democrat,Hillary Clinton,310,0.444
1784,Connecticut,CT,Bethel,Democrat,Hillary Clinton,737,0.46
1786,Connecticut,CT,Bethlehem,Democrat,Hillary Clinton,144,0.378
1788,Connecticut,CT,Bloomfield,Democrat,Hillary Clinton,2821,0.746
1790,Connecticut,CT,Bolton,Democrat,Hillary Clinton,251,0.406
1792,Connecticut,CT,Bozrah,Democrat,Hillary Clinton,102,0.368
1794,Connecticut,CT,Branford,Democrat,Hillary Clinton,1626,0.484
1796,Connecticut,CT,Bridgeport,Democrat,Hillary Clinton,7278,0.65
1798,Connecticut,CT,Bridgewater,Democrat,Hillary Clinton,95,0.424
1800,Connecticut,CT,Bristol,Democrat,Hillary Clinton,2235,0.438
1802,Connecticut,CT,Brookfield,Democrat,Hillary Clinton,598,0.481
1804,Connecticut,CT,Brooklyn,Democrat,Hillary Clinton,225,0.403
1806,Connecticut,CT,Burlington,Democrat,Hillary Clinton,402,0.458
1808,Connecticut,CT,Canaan,Democrat,Hillary Clinton,54,0.297
1810,Connecticut,CT,Canterbury,Democrat,Hillary Clinton,133,0.378
1812,Connecticut,CT,Canton,Democrat,Hillary Clinton,540,0.435
1814,Connecticut,CT,Chaplin,Democrat,Hillary Clinton,69,0.322
1816,Connecticut,CT,Cheshire,Democrat,Hillary Clinton,1342,0.512
1818,Connecticut,CT,Chester,Democrat,Hillary Clinton,277,0.429
1820,Connecticut,CT,Clinton,Democrat,Hillary Clinton,632,0.462
1822,Connecticut,CT,Colchester,Democrat,Hillary Clinton,624,0.384
1824,Connecticut,CT,Colebrook,Democrat,Hillary Clinton,53,0.358
1826,Connecticut,CT,Columbia,Democrat,Hillary Clinton,267,0.39
1828,Connecticut,CT,Cornwall,Democrat,Hillary Clinton,141,0.413
1830,Connecticut,CT,Coventry,Democrat,Hillary Clinton,521,0.403
1832,Connecticut,CT,Cromwell,Democrat,Hillary Clinton,731,0.492
1834,Connecticut,CT,Danbury,Democrat,Hillary Clinton,2319,0.537
1836,Connecticut,CT,Darien,Democrat,Hillary Clinton,832,0.695
1838,Connecticut,CT,Deep River,Democrat,Hillary Clinton,242,0.412
1840,Connecticut,CT,Derby,Democrat,Hillary Clinton,459,0.468
1842,Connecticut,CT,Durham,Democrat,Hillary Clinton,303,0.42
1844,Connecticut,CT,East Granby,Democrat,Hillary Clinton,244,0.454
1846,Connecticut,CT,East Haddam,Democrat,Hillary Clinton,407,0.409
1848,Connecticut,CT,East Hampton,Democrat,Hillary Clinton,506,0.4
1850,Connecticut,CT,East Hartford,Democrat,Hillary Clinton,2419,0.556
1852,Connecticut,CT,East Haven,Democrat,Hillary Clinton,937,0.492
1854,Connecticut,CT,East Lyme,Democrat,Hillary Clinton,1011,0.503
1856,Connecticut,CT,East Windsor,Democrat,Hillary Clinton,371,0.416
1858,Connecticut,CT,Eastford,Democrat,Hillary Clinton,62,0.339
1860,Connecticut,CT,Easton,Democrat,Hillary Clinton,394,0.549
1862,Connecticut,CT,Ellington,Democrat,Hillary Clinton,499,0.43
1864,Connecticut,CT,Enfield,Democrat,Hillary Clinton,1375,0.425
1866,Connecticut,CT,Essex,Democrat,Hillary Clinton,513,0.521
1868,Connecticut,CT,Fairfield,Democrat,Hillary Clinton,3505,0.593
1870,Connecticut,CT,Farmington,Democrat,Hillary Clinton,1302,0.495
1872,Connecticut,CT,Franklin,Democrat,Hillary Clinton,56,0.344
1874,Connecticut,CT,Glastonbury,Democrat,Hillary Clinton,1985,0.514
1876,Connecticut,CT,Goshen,Democrat,Hillary Clinton,106,0.341
1878,Connecticut,CT,Granby,Democrat,Hillary Clinton,508,0.41
1880,Connecticut,CT,Greenwich,Democrat,Hillary Clinton,3206,0.681
1882,Connecticut,CT,Griswold,Democrat,Hillary Clinton,326,0.357
1884,Connecticut,CT,Groton,Democrat,Hillary Clinton,1332,0.459
1886,Connecticut,CT,Guilford,Democrat,Hillary Clinton,1812,0.546
1888,Connecticut,CT,Haddam,Democrat,Hillary Clinton,437,0.41
1890,Connecticut,CT,Hamden,Democrat,Hillary Clinton,4914,0.565
1892,Connecticut,CT,Hampton,Democrat,Hillary Clinton,111,0.44
1894,Connecticut,CT,Hartford,Democrat,Hillary Clinton,7413,0.694
1896,Connecticut,CT,Hartland,Democrat,Hillary Clinton,51,0.307
1898,Connecticut,CT,Harwinton,Democrat,Hillary Clinton,177,0.385
